Blake Bortles 26.8163878788,James White 9.05578231293,Todd Gurley 47.387755102,Pierre Garcon 17.4673333333,Mike Evans 23.5333333333,Adam Thielen 24.698,Jared Cook 9.054,Leonard Fournette 38.0,LA 5,49700
Eli Manning 25.3260808081,Lamar Miller 18.2074829932,Leonard Fournette 38.0,Brandon Marshall 7.50977777778,Stefon Diggs 28.704,Pierre Garcon 17.4673333333,Benjamin Watson 5.13422222222,Todd Gurley 47.387755102,Det 13,48200
Eli Manning 25.3260808081,Todd Gurley 47.387755102,Leonard Fournette 38.0,Brandon Marshall 7.50977777778,Golden Tate 23.7035555556,Stefon Diggs 28.704,Jared Cook 9.054,Duke Johnson 8.00085034014,Det 13,48800
Brian Hoyer 11.5381,Todd Gurley 47.387755102,Leonard Fournette 38.0,Pierre Garcon 17.4673333333,Larry Fitzgerald 24.7975555556,DeAndre Hopkins 24.5333333333,Jared Cook 9.054,C.J. Anderson 22.6642857143,LA 5,49100
Case Keenum 24.3459,Leonard Fournette 38.0,Todd Gurley 47.387755102,Stefon Diggs 28.704,Tyrell Williams 7.74688888889,Larry Fitzgerald 24.7975555556,Eric Ebron 5.57777777778,C.J. Anderson 22.6642857143,NE 1,49200
Tyrod Taylor 21.546989899,C.J. Anderson 22.6642857143,Devonta Freeman 30.7683673469,Tyrell Williams 7.74688888889,Sterling Shepard 18.1475555556,Larry Fitzgerald 24.7975555556,Delanie Walker 14.1333333333,Todd Gurley 47.387755102,Det 13,49100
Carson Palmer 33.2591222222,Todd Gurley 47.387755102,Javorius Allen 17.1755102041,Larry Fitzgerald 24.7975555556,Pierre Garcon 17.4673333333,Stefon Diggs 28.704,Jared Cook 9.054,Lamar Miller 18.2074829932,Min 4,48300
Matthew Stafford 31.0079757576,Dalvin Cook 32.2132653061,Todd Gurley 47.387755102,Golden Tate 23.7035555556,J.J. Nelson 8.19466666667,Corey Coleman 5.25955555556,Jared Cook 9.054,Leonard Fournette 38.0,LA 5,49900
Matthew Stafford 31.0079757576,Todd Gurley 47.387755102,Leonard Fournette 38.0,Golden Tate 23.7035555556,Stefon Diggs 28.704,Tyrell Williams 7.74688888889,Ryan Griffin 4.72222222222,Martavis Bryant 5.44555555556,Det 13,49900
Carson Palmer 33.2591222222,Theo Riddick 4.13418367347,Todd Gurley 47.387755102,Larry Fitzgerald 24.7975555556,Tyrell Williams 7.74688888889,Antonio Brown 41.9013333333,Jared Cook 9.054,Mike Gillislee 18.4040816327,Det 13,49700
Case Keenum 24.3459,Leonard Fournette 38.0,Todd Gurley 47.387755102,Stefon Diggs 28.704,Jermaine Kearse 8.95111111111,Danny Amendola 11.704,Ryan Griffin 4.72222222222,C.J. Anderson 22.6642857143,Det 13,47900
Carson Palmer 33.2591222222,Bilal Powell 5.6112244898,Todd Gurley 47.387755102,Larry Fitzgerald 24.7975555556,Adam Thielen 24.698,Corey Coleman 5.25955555556,Jason Witten 16.4226666667,Leonard Fournette 38.0,Min 4,50000
Carson Palmer 33.2591222222,Todd Gurley 47.387755102,Mike Gillislee 18.4040816327,Larry Fitzgerald 24.7975555556,Pierre Garcon 17.4673333333,Rishard Matthews 12.4833333333,Austin Hooper 3.58311111111,Leonard Fournette 38.0,Atl 4,49000
Carson Palmer 33.2591222222,Leonard Fournette 38.0,Dalvin Cook 32.2132653061,Larry Fitzgerald 24.7975555556,Tyrell Williams 7.74688888889,Pierre Garcon 17.4673333333,Zach Ertz 23.5224444444,Lamar Miller 18.2074829932,Pit 4,49600
Trevor Siemian 28.4349,Dalvin Cook 32.2132653061,Leonard Fournette 38.0,Sterling Shepard 18.1475555556,John Brown 8.224,DeSean Jackson 8.21022222222,Jason Witten 16.4226666667,Todd Gurley 47.387755102,Ari 2,49700
Carson Palmer 33.2591222222,Leonard Fournette 38.0,Todd Gurley 47.387755102,John Brown 8.224,Golden Tate 23.7035555556,Sterling Shepard 18.1475555556,Austin Hooper 3.58311111111,C.J. Anderson 22.6642857143,Atl 4,49100
Matthew Stafford 31.0079757576,Leonard Fournette 38.0,Todd Gurley 47.387755102,Golden Tate 23.7035555556,Pierre Garcon 17.4673333333,Corey Coleman 5.25955555556,Jared Cook 9.054,Adam Thielen 24.698,Ari 2,49500
Matthew Stafford 31.0079757576,Todd Gurley 47.387755102,Mike Gillislee 18.4040816327,Keenan Allen 19.8888888889,Larry Fitzgerald 24.7975555556,Rashard Higgins 9.46577777778,Eric Ebron 5.57777777778,Leonard Fournette 38.0,Atl 4,50000
Matthew Stafford 31.0079757576,Lamar Miller 18.2074829932,Todd Gurley 47.387755102,Golden Tate 23.7035555556,Demaryius Thomas 17.8346666667,Danny Amendola 11.704,Austin Hooper 3.58311111111,Leonard Fournette 38.0,Bal 7,48800
