31,George Hill,PG,30,UTA,8,8,35.1,5.8,12.3,0.469,1.5,3.9,0.387,4.3,8.4,0.507,0.531,2.6,3.6,0.724,1,3.1,4.1,3.6,0.3,0.1,1.6,3.1,15.6
32,DeAndre Jordan,C,28,LAC,7,7,37.7,6.1,8.7,0.705,0,0.1,0,6.1,8.6,0.717,0.705,3.1,8,0.393,3.6,10.9,14.4,0.7,0.4,0.9,2.4,4.1,15.4
33,Klay Thompson,SG,26,GSW,9,9,34.9,5.6,14.3,0.388,2,5.6,0.36,3.6,8.8,0.405,0.457,1.9,2.3,0.81,0.6,2.1,2.7,1.9,1.3,0.4,1.9,2.6,15
34,Dwyane Wade,SG,35,CHI,6,6,31.7,5.3,14.3,0.372,1,2.8,0.353,4.3,11.5,0.377,0.407,3.3,3.5,0.952,1,4,5,4,0.8,1.3,1.7,1.3,15
35,Khris Middleton,SF,25,MIL,6,6,38.5,5.2,13,0.397,1.2,3.2,0.368,4,9.8,0.407,0.442,3,3.7,0.818,0,4.7,4.7,5.3,2,0,1.8,2.8,14.5
36,Serge Ibaka,PF,27,TOR,10,10,30.7,6,13,0.462,1.2,3.8,0.316,4.8,9.2,0.522,0.508,1.1,1.3,0.846,0.9,5.6,6.5,1.4,0.4,1.7,1.1,3.7,14.3
37,Draymond Green,PF,26,GSW,9,9,35.6,4.4,8.9,0.5,2.3,4.7,0.5,2.1,4.2,0.5,0.631,3,4.3,0.692,0.9,8,8.9,7.2,2,2.3,1.9,3.2,14.2
38,Kevin Love,PF,28,CLE,8,8,31.3,4.3,9.9,0.43,1.9,4.6,0.405,2.4,5.3,0.452,0.525,3.4,4,0.844,1.1,8,9.1,1.5,0.4,0.6,2.4,2.5,13.8
39,Jae Crowder,SF,26,BOS,13,13,33.1,4.7,11.1,0.424,1.5,4.9,0.313,3.2,6.2,0.513,0.493,2.3,2.7,0.857,0.9,5.1,6,2.4,1.2,0.4,0.6,2.7,13.2
40,Greg Monroe,C,26,MIL,6,0,23.5,4.5,8.5,0.529,0,0,,4.5,8.5,0.529,0.529,4.2,5,0.833,2.8,4.5,7.3,1.7,1.3,0.5,1.8,2.7,13.2
41,Zach Randolph,PF,35,MEM,6,4,31.8,5.8,13.8,0.422,0.2,1.2,0.143,5.7,12.7,0.447,0.428,1.3,1.8,0.727,1.5,6.7,8.2,0.7,0.8,0.3,1.2,2.3,13.2
